ISP,Download,Upload,Timestamp
Infel-ktv Doo,12.56 Mbit/s,1.36 Mbit/s,2020-06-27T09:00:02.887956Z
Infel-ktv Doo,9.36 Mbit/s,1.27 Mbit/s,2020-06-27T10:00:02.949078Z
Infel-ktv Doo,11.41 Mbit/s,1.41 Mbit/s,2020-06-27T11:00:03.077478Z
Infel-ktv Doo,11.94 Mbit/s,1.07 Mbit/s,2020-06-27T12:00:03.402987Z
Infel-ktv Doo,5.35 Mbit/s,0.77 Mbit/s,2020-06-27T13:00:03.506742Z
Infel-ktv Doo,14.14 Mbit/s,1.27 Mbit/s,2020-06-27T14:00:03.401205Z
Infel-ktv Doo,10.25 Mbit/s,1.17 Mbit/s,2020-06-27T15:00:02.272601Z
Infel-ktv Doo,9.61 Mbit/s,1.13 Mbit/s,2020-06-27T16:00:03.226510Z
Infel-ktv Doo,8.94 Mbit/s,1.24 Mbit/s,2020-06-27T17:00:03.290069Z
Infel-ktv Doo,13.33 Mbit/s,1.21 Mbit/s,2020-06-27T18:00:03.748779Z
Infel-ktv Doo,13.60 Mbit/s,1.26 Mbit/s,2020-06-27T19:00:02.833726Z
Infel-ktv Doo,11.48 Mbit/s,1.11 Mbit/s,2020-06-27T20:00:02.370818Z
Infel-ktv Doo,10.59 Mbit/s,1.09 Mbit/s,2020-06-29T13:00:03.448487Z
Infel-ktv Doo,13.30 Mbit/s,1.33 Mbit/s,2020-06-29T14:00:02.764981Z
Infel-ktv Doo,13.61 Mbit/s,1.11 Mbit/s,2020-06-29T15:00:03.224662Z
Infel-ktv Doo,13.98 Mbit/s,1.25 Mbit/s,2020-06-29T16:00:03.172729Z
Infel-ktv Doo,14.08 Mbit/s,1.16 Mbit/s,2020-06-29T17:00:04.028038Z
Infel-ktv Doo,14.33 Mbit/s,1.23 Mbit/s,2020-06-29T18:00:02.266470Z
Infel-ktv Doo,11.29 Mbit/s,1.16 Mbit/s,2020-06-29T19:00:02.665775Z
Infel-ktv Doo,14.12 Mbit/s,1.05 Mbit/s,2020-06-29T20:00:02.005393Z
Infel-ktv Doo,13.42 Mbit/s,1.15 Mbit/s,2020-06-29T21:00:03.117856Z
Infel-ktv Doo,14.02 Mbit/s,1.15 Mbit/s,2020-06-29T22:00:01.988834Z
Infel-ktv Doo,1.57 Mbit/s,0.30 Mbit/s,2020-06-30T00:00:09.084541Z
Infel-ktv Doo,11.56 Mbit/s,0.92 Mbit/s,2020-06-30T01:00:21.982590Z
Infel-ktv Doo,2.46 Mbit/s,0.34 Mbit/s,2020-06-30T04:00:19.288629Z
Infel-ktv Doo,2.01 Mbit/s,0.58 Mbit/s,2020-06-30T06:00:13.320955Z
Infel-ktv Doo,13.14 Mbit/s,1.28 Mbit/s,2020-06-30T17:00:03.725354Z
Infel-ktv Doo,13.24 Mbit/s,1.10 Mbit/s,2020-06-30T18:00:03.071635Z
Infel-ktv Doo,13.99 Mbit/s,1.18 Mbit/s,2020-06-30T19:00:02.900258Z
Infel-ktv Doo,13.55 Mbit/s,1.19 Mbit/s,2020-06-30T20:00:02.755898Z
Infel-ktv Doo,7.04 Mbit/s,0.74 Mbit/s,2020-06-30T21:00:05.367321Z
Infel-ktv Doo,14.12 Mbit/s,1.30 Mbit/s,2020-07-01T15:00:03.277569Z
Infel-ktv Doo,10.36 Mbit/s,1.34 Mbit/s,2020-07-01T16:00:02.564406Z
Infel-ktv Doo,13.11 Mbit/s,1.26 Mbit/s,2020-07-01T17:00:03.575542Z
Infel-ktv Doo,14.30 Mbit/s,1.20 Mbit/s,2020-07-01T18:00:02.064238Z
Infel-ktv Doo,14.10 Mbit/s,1.30 Mbit/s,2020-07-01T19:00:02.607460Z
Infel-ktv Doo,13.92 Mbit/s,1.30 Mbit/s,2020-07-01T20:00:02.162322Z
Infel-ktv Doo,13.41 Mbit/s,1.32 Mbit/s,2020-07-01T21:00:03.372766Z
Infel-ktv Doo,14.18 Mbit/s,1.27 Mbit/s,2020-07-02T11:00:03.569239Z
Infel-ktv Doo,13.27 Mbit/s,1.03 Mbit/s,2020-07-02T12:00:03.193019Z
Infel-ktv Doo,13.67 Mbit/s,1.09 Mbit/s,2020-07-02T16:00:03.369435Z
Infel-ktv Doo,14.09 Mbit/s,1.23 Mbit/s,2020-07-02T17:00:03.989218Z
Infel-ktv Doo,13.43 Mbit/s,1.22 Mbit/s,2020-07-02T18:00:03.127533Z
Infel-ktv Doo,14.06 Mbit/s,1.22 Mbit/s,2020-07-02T19:00:02.165158Z
Infel-ktv Doo,14.37 Mbit/s,1.32 Mbit/s,2020-07-02T20:00:03.902678Z
Infel-ktv Doo,14.24 Mbit/s,1.34 Mbit/s,2020-07-03T07:00:02.171275Z
Infel-ktv Doo,14.28 Mbit/s,1.26 Mbit/s,2020-07-03T08:00:02.786388Z
Infel-ktv Doo,10.47 Mbit/s,1.26 Mbit/s,2020-07-03T09:00:03.320789Z
Infel-ktv Doo,14.31 Mbit/s,1.26 Mbit/s,2020-07-03T10:00:02.821686Z
Infel-ktv Doo,13.46 Mbit/s,1.42 Mbit/s,2020-07-03T11:00:03.490900Z
Infel-ktv Doo,12.66 Mbit/s,1.32 Mbit/s,2020-07-03T12:00:03.892875Z
Infel-ktv Doo,12.74 Mbit/s,1.27 Mbit/s,2020-07-03T13:00:03.900590Z
Infel-ktv Doo,14.27 Mbit/s,1.27 Mbit/s,2020-07-03T14:00:03.998099Z
Infel-ktv Doo,14.17 Mbit/s,1.35 Mbit/s,2020-07-03T15:00:03.565845Z
Infel-ktv Doo,13.79 Mbit/s,1.27 Mbit/s,2020-07-03T16:00:03.809420Z
Infel-ktv Doo,13.34 Mbit/s,1.28 Mbit/s,2020-07-03T17:00:04.311974Z
Infel-ktv Doo,13.09 Mbit/s,1.20 Mbit/s,2020-07-03T18:00:04.413904Z
Infel-ktv Doo,14.28 Mbit/s,1.24 Mbit/s,2020-07-03T19:00:03.711437Z
